Year,Total Vaccinations (per hundred),Total Deaths (per million),Aged Over 65,Poor Cardiovascular Death Rate,Diabetes Prevalence,Male Smokers,Female Smokers
2020,,74.192,16.984,105.599,7.37,16.6,12.0
2020,,77.755,16.984,105.599,7.37,16.6,12.0
2020,,82.591,16.984,105.599,7.37,16.6,12.0
2020,,87.948,16.984,105.599,7.37,16.6,12.0
2020,,92.473,16.984,105.599,7.37,16.6,12.0
2020,,95.464,16.984,105.599,7.37,16.6,12.0
2020,,99.937,16.984,105.599,7.37,16.6,12.0
2020,,104.826,16.984,105.599,7.37,16.6,12.0
2020,,109.741,16.984,105.599,7.37,16.6,12.0
2020,,114.291,16.984,105.599,7.37,16.6,12.0
2020,,118.478,16.984,105.599,7.37,16.6,12.0
2020,,121.677,16.984,105.599,7.37,16.6,12.0
2020,,126.306,16.984,105.599,7.37,16.6,12.0
2020,,129.478,16.984,105.599,7.37,16.6,12.0
2020,,134.055,16.984,105.599,7.37,16.6,12.0
2020,,137.514,16.984,105.599,7.37,16.6,12.0
2020,,141.883,16.984,105.599,7.37,16.6,12.0
2020,,144.223,16.984,105.599,7.37,16.6,12.0
2020,,147.266,16.984,105.599,7.37,16.6,12.0
2020,,149.944,16.984,105.599,7.37,16.6,12.0
2020,,151.504,16.984,105.599,7.37,16.6,12.0
2020,,153.299,16.984,105.599,7.37,16.6,12.0
2020,,156.367,16.984,105.599,7.37,16.6,12.0
2020,,159.54,16.984,105.599,7.37,16.6,12.0
2020,,162.062,16.984,105.599,7.37,16.6,12.0
2020,,164.741,16.984,105.599,7.37,16.6,12.0
2020,,166.535,16.984,105.599,7.37,16.6,12.0
2020,,169.682,16.984,105.599,7.37,16.6,12.0
2020,,172.126,16.984,105.599,7.37,16.6,12.0
2020,,175.403,16.984,105.599,7.37,16.6,12.0
2020,,178.315,16.984,105.599,7.37,16.6,12.0
2020,,180.968,16.984,105.599,7.37,16.6,12.0
2020,,183.412,16.984,105.599,7.37,16.6,12.0
2020,,189.185,16.984,105.599,7.37,16.6,12.0
2020,,189.992,16.984,105.599,7.37,16.6,12.0
2020,,191.786,16.984,105.599,7.37,16.6,12.0
2020,,194.464,16.984,105.599,7.37,16.6,12.0
2020,,198.079,16.984,105.599,7.37,16.6,12.0
2020,,199.795,16.984,105.599,7.37,16.6,12.0
2020,,201.538,16.984,105.599,7.37,16.6,12.0
2020,,202.214,16.984,105.599,7.37,16.6,12.0
2020,,203.124,16.984,105.599,7.37,16.6,12.0
2020,,204.684,16.984,105.599,7.37,16.6,12.0
2020,,206.297,16.984,105.599,7.37,16.6,12.0
2020,,207.207,16.984,105.599,7.37,16.6,12.0
2020,,208.585,16.984,105.599,7.37,16.6,12.0
2020,,210.093,16.984,105.599,7.37,16.6,12.0
2020,,211.108,16.984,105.599,7.37,16.6,12.0
2020,,211.862,16.984,105.599,7.37,16.6,12.0
2020,,212.85,16.984,105.599,7.37,16.6,12.0
2020,,213.916,16.984,105.599,7.37,16.6,12.0
2020,,215.112,16.984,105.599,7.37,16.6,12.0
2020,,216.309,16.984,105.599,7.37,16.6,12.0
2020,,217.947,16.984,105.599,7.37,16.6,12.0
2020,,218.389,16.984,105.599,7.37,16.6,12.0
2020,,218.545,16.984,105.599,7.37,16.6,12.0
2020,,219.013,16.984,105.599,7.37,16.6,12.0
2020,,219.767,16.984,105.599,7.37,16.6,12.0
2020,,220.287,16.984,105.599,7.37,16.6,12.0
2020,,220.391,16.984,105.599,7.37,16.6,12.0
2020,,220.573,16.984,105.599,7.37,16.6,12.0
2020,,220.729,16.984,105.599,7.37,16.6,12.0
2020,,221.874,16.984,105.599,7.37,16.6,12.0
2020,,222.498,16.984,105.599,7.37,16.6,12.0
2020,,222.576,16.984,105.599,7.37,16.6,12.0
2020,,223.798,16.984,105.599,7.37,16.6,12.0
2020,,224.344,16.984,105.599,7.37,16.6,12.0
2020,,224.63,16.984,105.599,7.37,16.6,12.0
2020,,224.89,16.984,105.599,7.37,16.6,12.0
2020,,225.124,16.984,105.599,7.37,16.6,12.0
2020,,225.592,16.984,105.599,7.37,16.6,12.0
2020,,226.268,16.984,105.599,7.37,16.6,12.0
2020,,226.554,16.984,105.599,7.37,16.6,12.0
2020,,226.841,16.984,105.599,7.37,16.6,12.0
2020,,227.205,16.984,105.599,7.37,16.6,12.0
2020,,227.465,16.984,105.599,7.37,16.6,12.0
2020,,227.621,16.984,105.599,7.37,16.6,12.0
2020,,227.829,16.984,105.599,7.37,16.6,12.0
2020,,228.141,16.984,105.599,7.37,16.6,12.0
2020,,228.583,16.984,105.599,7.37,16.6,12.0
2020,,228.895,16.984,105.599,7.37,16.6,12.0
2020,,229.129,16.984,105.599,7.37,16.6,12.0
2020,,229.233,16.984,105.599,7.37,16.6,12.0
2020,,229.389,16.984,105.599,7.37,16.6,12.0
2020,,229.493,16.984,105.599,7.37,16.6,12.0
2020,,229.701,16.984,105.599,7.37,16.6,12.0
2020,,229.805,16.984,105.599,7.37,16.6,12.0
2020,,229.987,16.984,105.599,7.37,16.6,12.0
2020,,230.091,16.984,105.599,7.37,16.6,12.0
2020,,230.195,16.984,105.599,7.37,16.6,12.0
2020,,230.481,16.984,105.599,7.37,16.6,12.0
2020,,230.767,16.984,105.599,7.37,16.6,12.0
2020,,230.949,16.984,105.599,7.37,16.6,12.0
2020,,231.209,16.984,105.599,7.37,16.6,12.0
2020,,231.365,16.984,105.599,7.37,16.6,12.0
2020,,231.521,16.984,105.599,7.37,16.6,12.0
2020,,231.625,16.984,105.599,7.37,16.6,12.0
2020,,231.677,16.984,105.599,7.37,16.6,12.0
2020,,231.963,16.984,105.599,7.37,16.6,12.0
2020,,232.068,16.984,105.599,7.37,16.6,12.0
2020,,232.172,16.984,105.599,7.37,16.6,12.0
2020,,232.276,16.984,105.599,7.37,16.6,12.0
2020,,232.432,16.984,105.599,7.37,16.6,12.0
2020,,232.562,16.984,105.599,7.37,16.6,12.0
2020,,232.718,16.984,105.599,7.37,16.6,12.0
2020,,232.822,16.984,105.599,7.37,16.6,12.0
2020,,233.212,16.984,105.599,7.37,16.6,12.0
2020,,233.446,16.984,105.599,7.37,16.6,12.0
2020,,233.576,16.984,105.599,7.37,16.6,12.0
2020,,233.68,16.984,105.599,7.37,16.6,12.0
2020,,233.732,16.984,105.599,7.37,16.6,12.0
2020,,233.888,16.984,105.599,7.37,16.6,12.0
2020,,234.226,16.984,105.599,7.37,16.6,12.0
2020,,234.356,16.984,105.599,7.37,16.6,12.0
2020,,234.46,16.984,105.599,7.37,16.6,12.0
2020,,234.72,16.984,105.599,7.37,16.6,12.0
2020,,234.902,16.984,105.599,7.37,16.6,12.0
2020,,234.954,16.984,105.599,7.37,16.6,12.0
2020,,235.214,16.984,105.599,7.37,16.6,12.0
2020,,235.396,16.984,105.599,7.37,16.6,12.0
2020,,235.5,16.984,105.599,7.37,16.6,12.0
2020,,235.708,16.984,105.599,7.37,16.6,12.0
2020,,235.994,16.984,105.599,7.37,16.6,12.0
2020,,235.994,16.984,105.599,7.37,16.6,12.0
2020,,236.098,16.984,105.599,7.37,16.6,12.0
2020,,236.332,16.984,105.599,7.37,16.6,12.0
2020,,236.488,16.984,105.599,7.37,16.6,12.0
2020,,236.566,16.984,105.599,7.37,16.6,12.0
2020,,236.722,16.984,105.599,7.37,16.6,12.0
2020,,236.748,16.984,105.599,7.37,16.6,12.0
2020,,236.8,16.984,105.599,7.37,16.6,12.0
2020,,236.826,16.984,105.599,7.37,16.6,12.0
2020,,236.852,16.984,105.599,7.37,16.6,12.0
2020,,237.034,16.984,105.599,7.37,16.6,12.0
2020,,237.086,16.984,105.599,7.37,16.6,12.0
2020,,237.294,16.984,105.599,7.37,16.6,12.0
2020,,237.32,16.984,105.599,7.37,16.6,12.0
2020,,237.477,16.984,105.599,7.37,16.6,12.0
2020,,237.503,16.984,105.599,7.37,16.6,12.0
2020,,237.711,16.984,105.599,7.37,16.6,12.0
2020,,237.945,16.984,105.599,7.37,16.6,12.0
2020,,238.075,16.984,105.599,7.37,16.6,12.0
2020,,238.257,16.984,105.599,7.37,16.6,12.0
2020,,238.387,16.984,105.599,7.37,16.6,12.0
2020,,238.543,16.984,105.599,7.37,16.6,12.0
2020,,238.699,16.984,105.599,7.37,16.6,12.0
2020,,238.985,16.984,105.599,7.37,16.6,12.0
2020,,239.141,16.984,105.599,7.37,16.6,12.0
2020,,239.375,16.984,105.599,7.37,16.6,12.0
2020,,239.531,16.984,105.599,7.37,16.6,12.0
2020,,239.687,16.984,105.599,7.37,16.6,12.0
2020,,239.869,16.984,105.599,7.37,16.6,12.0
2020,,239.999,16.984,105.599,7.37,16.6,12.0
2020,,240.259,16.984,105.599,7.37,16.6,12.0
2020,,240.597,16.984,105.599,7.37,16.6,12.0
2020,,240.753,16.984,105.599,7.37,16.6,12.0
2020,,241.325,16.984,105.599,7.37,16.6,12.0
2020,,243.666,16.984,105.599,7.37,16.6,12.0
2020,,245.044,16.984,105.599,7.37,16.6,12.0
2020,,245.538,16.984,105.599,7.37,16.6,12.0
2020,,246.136,16.984,105.599,7.37,16.6,12.0
2020,,246.812,16.984,105.599,7.37,16.6,12.0
2020,,247.098,16.984,105.599,7.37,16.6,12.0
2020,,247.436,16.984,105.599,7.37,16.6,12.0
2020,,248.217,16.984,105.599,7.37,16.6,12.0
2020,,248.815,16.984,105.599,7.37,16.6,12.0
2020,,248.945,16.984,105.599,7.37,16.6,12.0
2020,,249.361,16.984,105.599,7.37,16.6,12.0
2020,,249.985,16.984,105.599,7.37,16.6,12.0
2020,,250.245,16.984,105.599,7.37,16.6,12.0
2020,,251.155,16.984,105.599,7.37,16.6,12.0
2020,,251.753,16.984,105.599,7.37,16.6,12.0
2020,,252.351,16.984,105.599,7.37,16.6,12.0
2020,,252.715,16.984,105.599,7.37,16.6,12.0
2020,,253.183,16.984,105.599,7.37,16.6,12.0
2020,,253.574,16.984,105.599,7.37,16.6,12.0
2020,,254.484,16.984,105.599,7.37,16.6,12.0
2020,,255.342,16.984,105.599,7.37,16.6,12.0
2020,,255.992,16.984,105.599,7.37,16.6,12.0
2020,,256.824,16.984,105.599,7.37,16.6,12.0
2020,,257.422,16.984,105.599,7.37,16.6,12.0
2020,,258.124,16.984,105.599,7.37,16.6,12.0
2020,,258.853,16.984,105.599,7.37,16.6,12.0
2020,,259.581,16.984,105.599,7.37,16.6,12.0
2020,,260.673,16.984,105.599,7.37,16.6,12.0
2020,,261.609,16.984,105.599,7.37,16.6,12.0
2020,,262.259,16.984,105.599,7.37,16.6,12.0
2020,,263.351,16.984,105.599,7.37,16.6,12.0
2020,,264.027,16.984,105.599,7.37,16.6,12.0
2020,,265.874,16.984,105.599,7.37,16.6,12.0
2020,,267.356,16.984,105.599,7.37,16.6,12.0
2020,,268.526,16.984,105.599,7.37,16.6,12.0
2020,,269.931,16.984,105.599,7.37,16.6,12.0
2020,,271.335,16.984,105.599,7.37,16.6,12.0
2020,,272.141,16.984,105.599,7.37,16.6,12.0
2020,,273.233,16.984,105.599,7.37,16.6,12.0
2020,,275.002,16.984,105.599,7.37,16.6,12.0
2020,,276.38,16.984,105.599,7.37,16.6,12.0
2020,,278.538,16.984,105.599,7.37,16.6,12.0
2020,,280.099,16.984,105.599,7.37,16.6,12.0
2020,,281.711,16.984,105.599,7.37,16.6,12.0
2020,,283.323,16.984,105.599,7.37,16.6,12.0
2020,,285.221,16.984,105.599,7.37,16.6,12.0
2020,,286.704,16.984,105.599,7.37,16.6,12.0
2020,,289.252,16.984,105.599,7.37,16.6,12.0
2020,,291.307,16.984,105.599,7.37,16.6,12.0
2020,,293.101,16.984,105.599,7.37,16.6,12.0
2020,,294.973,16.984,105.599,7.37,16.6,12.0
2020,,296.196,16.984,105.599,7.37,16.6,12.0
2020,,297.834,16.984,105.599,7.37,16.6,12.0
2020,,300.33,16.984,105.599,7.37,16.6,12.0
2020,,302.723,16.984,105.599,7.37,16.6,12.0
2020,,304.985,16.984,105.599,7.37,16.6,12.0
2020,,307.43,16.984,105.599,7.37,16.6,12.0
2020,,309.848,16.984,105.599,7.37,16.6,12.0
2020,,311.746,16.984,105.599,7.37,16.6,12.0
2020,,313.437,16.984,105.599,7.37,16.6,12.0
2020,,315.543,16.984,105.599,7.37,16.6,12.0
2020,,318.508,16.984,105.599,7.37,16.6,12.0
2020,,320.64,16.984,105.599,7.37,16.6,12.0
2020,,322.929,16.984,105.599,7.37,16.6,12.0
2020,,325.763,16.984,105.599,7.37,16.6,12.0
2020,,327.973,16.984,105.599,7.37,16.6,12.0
2020,,330.132,16.984,105.599,7.37,16.6,12.0
2020,,332.446,16.984,105.599,7.37,16.6,12.0
2020,,335.463,16.984,105.599,7.37,16.6,12.0
2020,,338.687,16.984,105.599,7.37,16.6,12.0
2020,,342.38,16.984,105.599,7.37,16.6,12.0
2020,0.0,345.657,16.984,105.599,7.37,16.6,12.0
2020,0.0,348.101,16.984,105.599,7.37,16.6,12.0
2020,0.01,350.156,16.984,105.599,7.37,16.6,12.0
2020,0.02,352.86,16.984,105.599,7.37,16.6,12.0
2020,0.03,356.475,16.984,105.599,7.37,16.6,12.0
2020,0.03,359.491,16.984,105.599,7.37,16.6,12.0
2020,0.03,362.69,16.984,105.599,7.37,16.6,12.0
2020,0.05,366.383,16.984,105.599,7.37,16.6,12.0
2020,0.07,368.437,16.984,105.599,7.37,16.6,12.0
2020,0.09,370.179,16.984,105.599,7.37,16.6,12.0
2020,0.12,372.598,16.984,105.599,7.37,16.6,12.0
2020,0.13,376.993,16.984,105.599,7.37,16.6,12.0
