Year,Total Vaccinations (per hundred),Total Deaths (per million),Hospitalized Patients (per million),ICU Patients (per million),Positive Rate
2020,,227.205,13.601,1.846,0.0074
2020,,227.465,13.288,1.69,0.0076
2020,,227.621,13.184,1.612,0.0077
2020,,227.829,12.898,1.742,0.0081
2020,,228.141,12.794,1.69,0.0084
2020,,228.583,13.21,1.742,0.0087
2020,,228.895,13.341,1.846,0.0087
2020,,229.129,13.705,1.872,0.0093
2020,,229.233,14.199,1.924,0.0093
2020,,229.389,13.627,1.898,0.009
2020,,229.493,12.092,1.742,0.0095
2020,,229.701,11.494,1.69,0.0092
2020,,229.805,11.078,1.638,0.009
2020,,229.987,11.39,1.612,0.0091
2020,,230.091,11.0,1.586,0.0087
2020,,230.195,10.48,1.612,0.0083
2020,,230.481,10.792,1.846,0.0087
2020,,230.767,9.934,1.794,0.0079
2020,,230.949,9.544,1.846,0.0078
2020,,231.209,9.466,1.924,0.0076
2020,,231.365,9.44,1.976,0.0072
2020,,231.521,9.024,2.184,0.0062
2020,,231.625,9.024,2.184,0.007
2020,,231.677,8.582,2.21,0.0066
2020,,231.963,7.775,2.106,0.0065
2020,,232.068,7.905,2.002,0.0066
2020,,232.172,7.775,1.95,0.0066
2020,,232.276,7.905,1.82,0.0069
2020,,232.432,7.307,1.742,0.0078
2020,,232.562,7.021,1.716,0.0069
2020,,232.718,6.943,1.794,0.0068
2020,,232.822,7.775,1.742,0.007
2020,,233.212,6.943,1.716,0.0068
2020,,233.446,6.839,1.716,0.0067
2020,,233.576,6.839,1.586,0.0064
2020,,233.68,6.735,1.638,0.0056
2020,,233.732,6.657,1.638,0.0069
2020,,233.888,6.631,1.612,0.0069
2020,,234.226,6.397,1.456,0.0062
2020,,234.356,6.241,1.3,0.007
2020,,234.46,5.981,1.17,0.007
2020,,234.72,5.877,1.118,0.0073
2020,,234.902,6.189,1.092,0.0086
2020,,234.954,6.293,1.17,0.0074
2020,,235.214,6.787,1.3,0.0078
2020,,235.396,6.553,1.352,0.0085
2020,,235.5,6.475,1.352,0.0081
2020,,235.708,6.345,1.404,0.0083
2020,,235.994,6.787,1.508,0.0082
2020,,235.994,6.969,1.56,0.0089
2020,,236.098,6.995,1.456,0.009
2020,,236.332,6.865,1.508,0.0091
2020,,236.488,6.839,1.43,0.0094
2020,,236.566,6.449,1.508,0.0096
2020,,236.722,5.877,1.274,0.0098
2020,,236.748,5.903,1.3,0.0101
2020,,236.8,5.877,1.17,0.0085
2020,,236.826,6.813,1.352,0.0106
2020,,236.852,6.995,1.352,0.0103
2020,,237.034,7.021,1.378,0.0113
2020,,237.086,7.203,1.248,0.0116
2020,,237.294,7.359,1.404,0.0119
2020,,237.32,7.281,1.43,0.0118
2020,,237.477,7.775,1.768,0.0134
2020,,237.503,7.983,1.924,0.0118
2020,,237.711,8.322,2.184,0.0125
2020,,237.945,8.53,2.08,0.0121
2020,,238.075,8.608,2.132,0.0124
2020,,238.257,8.868,2.262,0.0128
2020,,238.387,9.596,2.288,0.0132
2020,,238.543,10.376,2.236,0.0136
2020,,238.699,10.922,2.418,0.0139
2020,,238.985,11.286,2.444,0.0143
2020,,239.141,12.014,2.6,0.0146
2020,,239.375,12.924,2.991,0.0157
2020,,239.531,13.262,2.965,0.0163
2020,,239.687,13.393,2.861,0.017
2020,,239.869,14.615,2.965,0.0174
2020,,239.999,15.187,3.121,0.0183
2020,,240.259,15.863,3.251,0.019
2020,,240.597,15.811,3.355,0.0194
2020,,240.753,16.565,3.667,0.0195
2020,,241.325,17.033,3.823,0.0198
2020,,243.666,18.151,3.667,0.0198
2020,,245.044,19.114,3.797,0.0202
2020,,245.538,19.868,3.719,0.0205
2020,,246.136,21.35,3.927,0.0204
2020,,246.812,21.324,3.901,0.021
2020,,247.098,21.428,4.161,0.0213
2020,,247.436,21.116,4.187,0.021
2020,,248.217,22.442,4.421,0.0215
2020,,248.815,22.728,4.837,0.0202
2020,,248.945,24.211,4.967,0.0221
2020,,249.361,24.627,4.967,0.0235
2020,,249.985,25.459,5.149,0.0242
2020,,250.245,24.965,5.357,0.0246
2020,,251.155,25.485,5.435,0.0251
2020,,251.753,25.979,5.435,0.0253
2020,,252.351,26.681,5.669,0.0282
2020,,252.715,26.993,5.461,0.0272
2020,,253.183,26.889,5.851,0.0276
2020,,253.574,27.461,5.929,0.0273
2020,,254.484,27.799,5.929,0.0283
2020,,255.342,28.683,6.059,0.0288
2020,,255.992,29.151,6.033,0.0287
2020,,256.824,29.932,5.955,0.0304
2020,,257.422,30.686,5.929,0.0309
2020,,258.124,30.322,5.799,0.0315
2020,,258.853,31.102,5.903,0.0325
2020,,259.581,31.102,5.929,0.0333
2020,,260.673,31.57,5.825,0.0336
2020,,261.609,32.74,5.903,0.035
